Venue Name,Venue address
Annerley Library,"450 Ipswich Rd, Annerley 4103"
Ashgrove Library,"87 Amarina Ave, Ashgrove 4060"
Banyo Library,"284 St Vincents Rd, Banyo 4014"
Bracken Ridge Library,"Corner Bracken and Barrett Streets, Bracken Ridge"
Brisbane Square Library,"266 George St, Brisbane"
Bulimba Library,"Cnr Riding Rd & Oxford St, Bulimba 4171"
Carina Library,"Cnr Mayfield Rd & Nyrang St, Carina 4152"
Carindale Library,"Westfield Carindale, 1151 Creek Road (near Millenium Boulevard), Carindale"
Chermside Library,"Chermside Library, 375 Hamilton Rd, Chermside 4032"
Coopers Plains Library,"107 Orange Grove Rd, Coopers Plains 4108"
Corinda Library,"641 Oxley Rd, Corinda, 4075"
Everton Park Library,"561 South Pine Road, Everton Park 4053"
Fairfield Library,"Fairfield Gardens Shopping Centre, Fairfield Rd, Fairfield Q 4103"
Garden City Library,"Garden City Shopping Centre, Cnr Logan & Kessels Rd, Upper Mt Gravatt Q 4122"
Grange Library,"79 Evelyn St, Grange 4051"
Hamilton Library,"Cnr Racecourse Rd & Rossiter Pde, Ascot 4007"
Holland Park Library,"81 Seville Rd, Holland Park 4121"
Inala Library,"Inala Civic Centre, Corsair Ave, Inala 4077"
Indooroopilly Library,"Indooroopilly Shopping Centre, Level 4, 322 Moggill Rd, Indooroopilly 4068"
Kenmore Library,"Kenmore Village, 9 Brookfield Road, Kenmore 4069"
Mitchelton Library,"37 Heliopolis Pde, Mitchelton 4053"
Mt Coot-tha Library,"Brisbane Botanic Gardens, Mt Coot-tha Rd, Toowong 4066"
Mt Gravatt Library,"8 Creek Rd, Mt Gravatt 4122"
Mt Ommaney Library,"Mt Ommaney Shopping Centre, 171 Dandenong Rd, Mt Ommaney 4074"
New Farm Library,"135 Sydney St, New Farm 4005"
Nundah Library,"1 Bage St (via Primrose Lane), Nundah 4012"
Sandgate Library,"Sandgate Town Hall, Seymour St, Sandgate 4017"
Stones Corner Library,"280 Logan Rd, Stones Corner 4120"
Sunnybank Hills Library,"Sunnybank Hills Shoppingtown, Cnr Compton & Calam Rds, Sunnybank Hills 4109"
Toowong Library,"Toowong Village Shopping Centre, 9 Sherwood Rd, Toowong 4066"
West End Library,"178-180 Boundary St, West End 4101"
Wynnum Library,"145 Florence St, Wynnum QLD 4178"
Zillmere Library,"Cnr Jennings St & Zillmere Rd, Zillmere 4034"
